model_id,itemName,collection,subCategory,candidate_confidence,flags,primary_risk_reason,recommended_review_action,likely_source_folders,reviewer_decision,approved_source_folder,reject_reason,reviewer_notes,reviewed_by,reviewed_date
ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,NKD Knot Sports Bra,NKD,Sports_Bra,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,,,,,,
ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Underwire Keyhole Sports Bra,NKD,Sports_Bra,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-scoop-neck-racerback-wide-strap-back-cutout-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,,,,,,
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,NKD Twist Sports Bra,NKD,Sports_Bra,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,,,,,,
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,NKD Embody Sports Crop,NKD,Sports_Bra,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,,,,,,
ryderwear_female_nkd_long_sleeve_half_zip,NKD Half Zip Long Sleeve Top,NKD,Long_Sleeve,low,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,,,,,,
ryderwear_female_nkd_tank_top_square_neck,NKD Square Neck Top,NKD,Tank_Top,low,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/,,,,,,
ryderwear_female_nkd_t_shirt,NKD Tee,NKD,T_Shirt,medium,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,,,,,,
ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,NKD Underwire Keyhole Bodysuit,NKD,Bodysuit,low,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,,,,,,
ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,Contour Track Pants,Contour,Track_Pants,low,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-rib-seamless-shorts-waistband-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-rib-seamless-leggings-waistband-scrunch/,,,,,,
ryderwear_female_ultra_tank_top_mesh,Ultra Mesh Tank,Ultra,Tank_Top,low,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,,,,,,
ryderwear_female_ultra_tank_top_scoop,Ultra Scoop Tank,Ultra,Tank_Top,low,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-scoop-neck-racerback-wide-strap-back-cutout-medium-support/,,,,,,
ryderwear_female_slouchy_off_shoulder_top,Slouchy Off Shoulder Top,NULL,Slouchy_Off_Shoulder_Top,low,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,,,,,,
