model_id,itemName,collection,subCategory,queue_status,source_folder_family_candidate,source_colour_folders_available,recommended_display_colour,source_terminal_folder,source_image_files,proposed_project_image_path,mapping_status,mapping_confidence,reviewer_decision,reviewer_notes
ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,NKD Knot Sports Bra,NKD,Sports_Bra,out_of_scope_for_batch_2,Women/NKD/Tops/Sports_Bra/Cut/Light_Support/Embody,Blue | Bone | Chocolate | Desert_Sage | Dusty_Pink | Fuchsia | Lemon | Mocha | Navy | Neon_Salmon | Pink | Plum | Sage | Steel_Gray | Watermelon | White,Blue,Women/NKD/Tops/Sports_Bra/Cut/Light_Support/Embody/Blue,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,NKD One Shoulder Sports Bra,NKD,Sports_Bra,out_of_scope_for_batch_2,Women/Non-NKD/Tops/Sports_Bra/Cut/One_Shoulder/__Collection/Legacy,Adapt,Adapt,Women/Non-NKD/Tops/Sports_Bra/Cut/One_Shoulder/__Collection/Legacy/Adapt,01.webp | 02.webp | 03.webp | 04.webp,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/one-shoulder/--collection/legacy/adapt,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Underwire Keyhole Sports Bra,NKD,Sports_Bra,out_of_scope_for_batch_2,Women/Non-NKD/Tops/Sports_Bra/Cut/Medium_Support/Seamless/Fabric/Ultra_Soft/__Collection/Contour/Marl,Black,Black,Women/Non-NKD/Tops/Sports_Bra/Cut/Medium_Support/Seamless/Fabric/Ultra_Soft/__Collection/Contour/Marl/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/medium-support/seamless/fabric/ultra-soft/--collection/contour/marl/black,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,NKD Twist Sports Bra,NKD,Sports_Bra,out_of_scope_for_batch_2,Women/Non-NKD/Tops/Sports_Bra/Cut/Low_Support/Mini_Bra/Seamless/__Collection/Sculpt,Black | Chocolate | Cranberry | Deep_Blue | Rosie,Black,Women/Non-NKD/Tops/Sports_Bra/Cut/Low_Support/Mini_Bra/Seamless/__Collection/Sculpt/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/low-support/mini-bra/seamless/--collection/sculpt/black,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,NKD Embody Sports Crop,NKD,Sports_Bra,out_of_scope_for_batch_2,Women/NKD/Tops/Sports_Bra/Cut/Light_Support/Embody,Blue | Bone | Chocolate | Desert_Sage | Dusty_Pink | Fuchsia | Lemon | Mocha | Navy | Neon_Salmon | Pink | Plum | Sage | Steel_Gray | Watermelon | White,Blue,Women/NKD/Tops/Sports_Bra/Cut/Light_Support/Embody/Blue,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_long_sleeve_half_zip,NKD Half Zip Long Sleeve Top,NKD,Long_Sleeve,out_of_scope_for_batch_2,Women/NKD/Tops/Long_Sleeve/Half_Zip,Black | White,Black,Women/NKD/Tops/Long_Sleeve/Half_Zip/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,images/brands/ryderwear/women/nkd/tops/long-sleeve/half-zip/black,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_tank_top_square_neck,NKD Square Neck Top,NKD,Tank_Top,out_of_scope_for_batch_2,Women/NKD/Tops/Sports_Bra/Cut/Square_Neck,Black | Pink_Sugar,Black,Women/NKD/Tops/Sports_Bra/Cut/Square_Neck/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/square-neck/black,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_t_shirt,NKD Tee,NKD,T_Shirt,out_of_scope_for_batch_2,Women/Non-NKD/Tops/Tee/Slight_Crop/__Collection/Legacy/Ultra,Tan,Tan,Women/Non-NKD/Tops/Tee/Slight_Crop/__Collection/Legacy/Ultra/Tan,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,images/brands/ryderwear/women/non-nkd/tops/tee/slight-crop/--collection/legacy/ultra/tan,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,NKD Underwire Keyhole Bodysuit,NKD,Bodysuit,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Shorts/Construction/Scrunch/Cross_Over/__Collection/Icon/Marl/Black,Shadow,Shadow,Women/Non-NKD/Bottoms/Shorts/Construction/Scrunch/Cross_Over/__Collection/Icon/Marl/Black/Shadow,01-cropped-shadow.png | 03-cropped-shadow.png | 06-cropped-shadow.png,images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/cross-over/--collection/icon/marl/black/shadow,out_of_scope_for_batch_2,low,,
ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,NKD Core Bra,NKD,Sports_Bra,out_of_scope_for_batch_2,Women/NKD/Tops/Sports_Bra/Cut/Square_Neck,Black | Pink_Sugar,Black,Women/NKD/Tops/Sports_Bra/Cut/Square_Neck/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/square-neck/black,out_of_scope_for_batch_2,low,,
ryderwear_female_rib_seamless_sports_bra_v_neck_halter_low_support,Rib Seamless Halter Sports Bra,Rib_Seamless,Sports_Bra,already_mapped_or_grandfathered,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Cut/Low_Support/__Collection/Sculpt/Halter_Bra,Azure | Black | Blossom | Charcoal | Cherry_Red | Cobalt | Forest | Hot_Pink | Jade,Azure,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Cut/Low_Support/__Collection/Sculpt/Halter_Bra/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt/halter-bra/azure,already_mapped_or_grandfathered,low,,
ryderwear_female_rib_seamless_t_shirt,Rib Seamless T-Shirt,Rib_Seamless,T_Shirt,already_mapped_or_grandfathered,Women/Non-NKD/Tops/Tee/Cropped/Fabric/Ribbed/Seamless/__Collection/Rib,Cobalt | Hot_Pink | Lime,Cobalt,Women/Non-NKD/Tops/Tee/Cropped/Fabric/Ribbed/Seamless/__Collection/Rib/Cobalt,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/non-nkd/tops/tee/cropped/fabric/ribbed/seamless/--collection/rib/cobalt,already_mapped_or_grandfathered,low,,
ryderwear_female_rib_seamless_leggings_waistband_scrunch,Rib Seamless Scrunch Leggings,Rib_Seamless,Leggings,already_mapped_or_grandfathered,Women/Non-NKD/Bottoms/Leggings/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib,Black | Cobalt | Hot_Pink | Lime | Mango,Black,Women/Non-NKD/Bottoms/Leggings/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/non-nkd/bottoms/leggings/fabric/ribbed/scrunch/seamless/--collection/rib/black,already_mapped_or_grandfathered,low,,
ryderwear_female_rib_seamless_shorts_waistband_scrunch,Rib Seamless Scrunch Shorts,Rib_Seamless,Shorts,already_mapped_or_grandfathered,Women/Non-NKD/Bottoms/Shorts/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib,Black | Hot_Pink | Mango,Black,Women/Non-NKD/Bottoms/Shorts/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Black,01.jpg | 01.png | 02.png | 02.webp | 03.jpg | 03.png | 04.png | 04.webp | 05.png | 05.webp,images/brands/ryderwear/women/non-nkd/bottoms/shorts/fabric/ribbed/scrunch/seamless/--collection/rib/black,already_mapped_or_grandfathered,low,,
ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,Lift Rib Seamless Halter Sports Bra,Rib_Seamless,Sports_Bra,out_of_scope_for_batch_2,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Rib/__Collection/Lift,Black | Cobalt_Blue | Mango | Slate_Blue | Taupe,Black,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Rib/__Collection/Lift/Black,01.webp | 02.jpg | 03.webp | 04.webp,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,out_of_scope_for_batch_2,low,,
ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,Lift 2.0 Seamless Sports Bra,Lift_2_0,Sports_Bra,out_of_scope_for_batch_2,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Rib/__Collection/Lift,Black | Cobalt_Blue | Mango | Slate_Blue | Taupe,Black,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Rib/__Collection/Lift/Black,01.webp | 02.jpg | 03.webp | 04.webp,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,out_of_scope_for_batch_2,low,,
ryderwear_female_lift_2_0_leggings_foldover_ribbed_high_waisted,Lift 2.0 BBL Seamless High-Waisted Leggings,Lift_2_0,Leggings,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Stonewash/Minimal_Scrunch,Black | Denim_Blue | Dusty_Blue | Lilac | Mint | Petrol | Pink,Black,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Stonewash/Minimal_Scrunch/Black,01.webp | 02.webp | 03.webp | 04.jpg | 05.webp,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/stonewash/minimal-scrunch/black,out_of_scope_for_batch_2,low,,
ryderwear_female_lift_2_0_shorts_foldover_ribbed_high_waisted,Lift 2.0 BBL Seamless High-Waisted Shorts,Lift_2_0,Shorts,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Seamless/__Collection/Stonewash,Black | Blue_Grey | Chocolate | Fawn | Lilac | Navy | Petrol | Pink | Tan,Black,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Seamless/__Collection/Stonewash/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/high-waisted/scrunch/seamless/--collection/stonewash/black,out_of_scope_for_batch_2,low,,
ryderwear_female_contour_sports_bra_rib_waistband_light_support,Contour Halter Sports Bra,Contour,Sports_Bra,out_of_scope_for_batch_2,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Ultra_Soft/__Collection/Contour/Marl,Berry | Black | Chocolate | Forest_Green | Light_Grey | Navy | Sky_Blue | Stone,Berry,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Fabric/Ultra_Soft/__Collection/Contour/Marl/Berry,01.png | 02.png | 03.png | 04.png,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/ultra-soft/--collection/contour/marl/berry,out_of_scope_for_batch_2,low,,
ryderwear_female_contour_shorts_foldover_ribbed_high_waisted,Contour Seamless High-Waisted Shorts,Contour,Shorts,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Shorts/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl,Black | Chocolate | Forest_Green | Hot_Pink | Indigo | Light_Grey | Navy | Sky_Blue | Stone,Black,Women/Non-NKD/Bottoms/Shorts/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Black,01.png | 02.png | 03.png | 04.png | 05.png | 06.png,images/brands/ryderwear/women/non-nkd/bottoms/shorts/fabric/ultra-soft/seamless/scrunch/invisible/--collection/contour/high-waisted/marl/black,out_of_scope_for_batch_2,low,,
ryderwear_female_contour_leggings_foldover_ribbed_high_waisted,Contour Seamless High-Waisted Leggings,Contour,Leggings,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/V_Dip,Black,Black,Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/V_Dip/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/non-nkd/bottoms/leggings/fabric/ultra-soft/seamless/scrunch/invisible/--collection/contour/high-waisted/v-dip/black,out_of_scope_for_batch_2,low,,
ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,Contour Track Pants,Contour,Track_Pants,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Track_Pants/Fabric/Ultra_Soft/High_Waisted/__Collection/Contour/Marl,Snow,Snow,Women/Non-NKD/Bottoms/Track_Pants/Fabric/Ultra_Soft/High_Waisted/__Collection/Contour/Marl/Snow,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/non-nkd/bottoms/track-pants/fabric/ultra-soft/high-waisted/--collection/contour/marl/snow,out_of_scope_for_batch_2,low,,
ryderwear_female_sculpt_sports_bra_rib_waistband_low_support,Sculpt Seamless Halter Sports Bra,Sculpt,Sports_Bra,out_of_scope_for_batch_2,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Cut/Low_Support/__Collection/Sculpt/Halter_Bra,Azure | Black | Blossom | Charcoal | Cherry_Red | Cobalt | Forest | Hot_Pink | Jade,Azure,Women/Non-NKD/Tops/Sports_Bra/Cut/Halter/Seamless/Cut/Low_Support/__Collection/Sculpt/Halter_Bra/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt/halter-bra/azure,out_of_scope_for_batch_2,low,,
ryderwear_female_sculpt_shorts_foldover_ribbed_high_waisted_scrunch,Sculpt Seamless High-Waisted Shorts,Sculpt,Shorts,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Sculpt,Azure | Black | Blossom | Charcoal | Cherry_Red | Hot_Pink | Rosie,Azure,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Sculpt/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/high-waisted/scrunch/minimal/seamless/--collection/sculpt/azure,out_of_scope_for_batch_2,low,,
ryderwear_female_sculpt_leggings_foldover_ribbed_high_waisted_scrunch,Sculpt Seamless High-Waisted Leggings,Sculpt,Leggings,out_of_scope_for_batch_2,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Sculpt,Azure | Banner | Black | Blossom | Charcoal | Cherry_Red | Cobalt_Blue | Forest | Hot_Pink | Jade | Lemon | Mocha | Sky_Blue | Violet,Azure,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Sculpt/Azure,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/sculpt/azure,out_of_scope_for_batch_2,low,,
ryderwear_female_stonewash_sports_bra_rib_waistband_v_neck_racerback_light_support,Stonewash Seamless Sports Bra,Stonewash,Sports_Bra,out_of_scope_for_batch_2,Women/Non-NKD/Tops/Sports_Bra/Seamless/__Collection/Stonewash,Black | Blue_Grey | Chocolate | Denim_Blue | Dusty_Blue | Fawn | Khaki | Lilac | Mint | Navy | Petrol | Pink | Tan,Black,Women/Non-NKD/Tops/Sports_Bra/Seamless/__Collection/Stonewash/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp,images/brands/ryderwear/women/non-nkd/tops/sports-bra/seamless/--collection/stonewash/black,out_of_scope_for_batch_2,low,,
ryderwear_female_stonewash_leggings_foldover_ribbed_high_waisted_scrunch_invisible,Stonewash Seamless High-Waisted Scrunch Leggings,Stonewash,Leggings,already_mapped_or_grandfathered,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Stonewash/Minimal_Scrunch,Black | Denim_Blue | Dusty_Blue | Lilac | Mint | Petrol | Pink,Black,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Stonewash/Minimal_Scrunch/Black,01.webp | 02.webp | 03.webp | 04.jpg | 05.webp,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/stonewash/minimal-scrunch/black,already_mapped_or_grandfathered,low,,
ryderwear_female_stonewash_shorts_foldover_ribbed_high_waisted_scrunch_invisible,Stonewash Seamless High-Waisted Scrunch Shorts,Stonewash,Shorts,already_mapped_or_grandfathered,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Seamless/__Collection/Stonewash,Black | Blue_Grey | Chocolate | Fawn | Lilac | Navy | Petrol | Pink | Tan,Black,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Seamless/__Collection/Stonewash/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/high-waisted/scrunch/seamless/--collection/stonewash/black,already_mapped_or_grandfathered,low,,
ryderwear_female_empower_sports_bra_leopard_print_scoop_neck_racerback_wide_strap_back_cutout_medium_support,Empower Sports Bra — Wide Strap Back Cut-Out,Empower,Sports_Bra,already_mapped_or_grandfathered,Women/Non-NKD/Tops/Sports_Bra/Cut/Scoop_Neck,White,White,Women/Non-NKD/Tops/Sports_Bra/Cut/Scoop_Neck/White,01.webp | 02.webp | 03.webp | 04.webp,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/scoop-neck/white,already_mapped_or_grandfathered,low,,
ryderwear_female_empower_sports_bra_leopard_print_cross_over_scoop_neck_cross_over_back_light_support,Empower Sports Bra Crop — Cross-Over Straps,Empower,Sports_Bra,already_mapped_or_grandfathered,Women/Non-NKD/Tops/Sports_Bra/Legacy/__Collection/Empower/Leopard,Black | Mocha | Vanilla,Black,Women/Non-NKD/Tops/Sports_Bra/Legacy/__Collection/Empower/Leopard/Black,01.png | 02.png | 03.png | 04.png | 05.png | 06.png | 07.png | 08.png | 09.png | 10.png,images/brands/ryderwear/women/non-nkd/tops/sports-bra/legacy/--collection/empower/leopard/black,already_mapped_or_grandfathered,low,,
ryderwear_female_empower_shorts_leopard_print_foldover_ribbed_high_waisted,Empower High-Waisted Shorts,Empower,Shorts,already_mapped_or_grandfathered,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Empower/Leopard,Black | Mocha | Vanilla,Black,Women/Non-NKD/Bottoms/Shorts/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Empower/Leopard/Black,01.webp | 02.webp | 03.webp | 04.webp | 05.webp,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/high-waisted/scrunch/minimal/seamless/--collection/legacy/empower/leopard/black,already_mapped_or_grandfathered,low,,
ryderwear_female_empower_leggings_leopard_print_foldover_ribbed_high_waisted,Empower High-Waisted Leggings,Empower,Leggings,already_mapped_or_grandfathered,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Empower/Leopard,Black | Mocha | Vanilla,Black,Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Empower/Leopard/Black,01.png | 02.png | 03.png | 04.png | 05.png,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/legacy/empower/leopard/black,already_mapped_or_grandfathered,low,,
