model_id,db_itemId,itemName,collection,subCategory,batch_classification,operational_batch1_row,current_productdb_images_path,current_path_contract24_alignment,current_path_alignment_notes,readiness_status,readiness_flags,candidate_confidence,prior_candidate_paths,prior_candidate_paths_noncanonical_risk,audit_recommended_action,requires_later_reviewed_migration_plan,migration_planning_notes,grandfather_recommended,source_or_canonical_folder_creation_later
ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,83,NKD Core Bra,NKD,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,79,Lift Rib Seamless Halter Sports Bra,Rib_Seamless,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/ | images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,78,Lift 2.0 Seamless Sports Bra,Lift_2_0,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_lift_2_0_leggings_foldover_ribbed_high_waisted,76,Lift 2.0 BBL Seamless High-Waisted Leggings,Lift_2_0,Leggings,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-empower-leggings-leopard-print-foldover-ribbed-high-waisted/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_lift_2_0_shorts_foldover_ribbed_high_waisted,77,Lift 2.0 BBL Seamless High-Waisted Shorts,Lift_2_0,Shorts,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-empower-shorts-leopard-print-foldover-ribbed-high-waisted/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_contour_sports_bra_rib_waistband_light_support,55,Contour Halter Sports Bra,Contour,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_contour_shorts_foldover_ribbed_high_waisted,57,Contour Seamless High-Waisted Shorts,Contour,Shorts,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-empower-shorts-leopard-print-foldover-ribbed-high-waisted/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_contour_leggings_foldover_ribbed_high_waisted,56,Contour Seamless High-Waisted Leggings,Contour,Leggings,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-empower-leggings-leopard-print-foldover-ribbed-high-waisted/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,58,Contour Track Pants,Contour,Track_Pants,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-rib-seamless-shorts-waistband-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-rib-seamless-leggings-waistband-scrunch/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_sculpt_sports_bra_rib_waistband_low_support,109,Sculpt Seamless Halter Sports Bra,Sculpt,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_sculpt_shorts_foldover_ribbed_high_waisted_scrunch,111,Sculpt Seamless High-Waisted Shorts,Sculpt,Shorts,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-empower-shorts-leopard-print-foldover-ribbed-high-waisted/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_sculpt_leggings_foldover_ribbed_high_waisted_scrunch,110,Sculpt Seamless High-Waisted Leggings,Sculpt,Leggings,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_stonewash_sports_bra_rib_waistband_v_neck_racerback_light_support,116,Stonewash Seamless Sports Bra,Stonewash,Sports_Bra,batch_1_operational,yes,images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/,noncanonical,collection_bucket_mismatch_expected_non-nkd_found_nkd,already_image_ready,,,,no,grandfather_temporarily,yes,later_reviewed_migration_only_if_business_justified,yes,no
ryderwear_female_ultra_tank_top_mesh,118,Ultra Mesh Tank,Ultra,Tank_Top,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_ultra_tank_top_scoop,120,Ultra Scoop Tank,Ultra,Tank_Top,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-scoop-neck-racerback-wide-strap-back-cutout-medium-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
ryderwear_female_ultra_t_shirt_scoop,119,Ultra Scoop T-Shirt,Ultra,T_Shirt,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_momentum_sports_bra_twist,81,Momentum Twist Sports Bra,Momentum,Sports_Bra,batch_1_operational,yes,images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-momentum-sports-bra-twist/,noncanonical,collection_bucket_mismatch_expected_non-nkd_found_nkd,already_image_ready,,,,no,grandfather_temporarily,yes,later_reviewed_migration_only_if_business_justified,yes,no
ryderwear_female_activate_sports_bra_twist,63,Activate Sports Bra,Activate,Sports_Bra,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,,high,images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-momentum-sports-bra-twist/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/,no,manual_validation_before_batch2,yes,later_reviewed_migration_plan_required,no,no
ryderwear_female_slouchy_off_shoulder_top,112,Slouchy Off Shoulder Top,NULL,Slouchy_Off_Shoulder_Top,batch_2_pending,no,,missing,missing_current_path,inactive_or_missing_image_fields,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,yes,source_images_or_canonical_folder_planning_required_before_batch2,yes,later_reviewed_migration_plan_required,no,yes
