model_id,itemName,collection,subCategory,db_itemId,images,status,candidate_confidence,likely_source_folders,flags,primary_risk_reason,recommended_review_action
ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,NKD Knot Sports Bra,NKD,Sports_Bra,87,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,NKD One Shoulder Sports Bra,NKD,Sports_Bra,88,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,NKD Underwire Keyhole Sports Bra,NKD,Sports_Bra,101,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-scoop-neck-racerback-wide-strap-back-cutout-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,NKD Twist Sports Bra,NKD,Sports_Bra,99,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,NKD Embody Sports Crop,NKD,Sports_Bra,85,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_long_sleeve_half_zip,NKD Half Zip Long Sleeve Top,NKD,Long_Sleeve,86,,inactive_or_missing_image_fields,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed
ryderwear_female_nkd_tank_top_square_neck,NKD Square Neck Top,NKD,Tank_Top,97,,inactive_or_missing_image_fields,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed
ryderwear_female_nkd_t_shirt,NKD Tee,NKD,T_Shirt,98,,inactive_or_missing_image_fields,medium,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,collection_path_mismatch|candidate_requires_manual_validation,collection_path_mismatch,manual_folder_validation_required_before_copy_or_mysql_reconciliation
ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,NKD Underwire Keyhole Bodysuit,NKD,Bodysuit,100,,inactive_or_missing_image_fields,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,collection_path_mismatch|subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed
ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,NKD Core Bra,NKD,Sports_Bra,83,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_rib_seamless_sports_bra_v_neck_halter_low_support,Rib Seamless Halter Sports Bra,Rib_Seamless,Sports_Bra,105,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,already_image_ready,,,,,
ryderwear_female_rib_seamless_t_shirt,Rib Seamless T-Shirt,Rib_Seamless,T_Shirt,108,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/,already_image_ready,,,,,
ryderwear_female_rib_seamless_leggings_waistband_scrunch,Rib Seamless Scrunch Leggings,Rib_Seamless,Leggings,106,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-rib-seamless-leggings-waistband-scrunch/,already_image_ready,,,,,
ryderwear_female_rib_seamless_shorts_waistband_scrunch,Rib Seamless Scrunch Shorts,Rib_Seamless,Shorts,107,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-rib-seamless-shorts-waistband-scrunch/,already_image_ready,,,,,
ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,Lift Rib Seamless Halter Sports Bra,Rib_Seamless,Sports_Bra,79,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/ | images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,Lift 2.0 Seamless Sports Bra,Lift_2_0,Sports_Bra,78,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_lift_2_0_leggings_foldover_ribbed_high_waisted,Lift 2.0 BBL Seamless High-Waisted Leggings,Lift_2_0,Leggings,76,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-empower-leggings-leopard-print-foldover-ribbed-high-waisted/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_lift_2_0_shorts_foldover_ribbed_high_waisted,Lift 2.0 BBL Seamless High-Waisted Shorts,Lift_2_0,Shorts,77,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-empower-shorts-leopard-print-foldover-ribbed-high-waisted/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_contour_sports_bra_rib_waistband_light_support,Contour Halter Sports Bra,Contour,Sports_Bra,55,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_contour_shorts_foldover_ribbed_high_waisted,Contour Seamless High-Waisted Shorts,Contour,Shorts,57,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-empower-shorts-leopard-print-foldover-ribbed-high-waisted/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_contour_leggings_foldover_ribbed_high_waisted,Contour Seamless High-Waisted Leggings,Contour,Leggings,56,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-empower-leggings-leopard-print-foldover-ribbed-high-waisted/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,Contour Track Pants,Contour,Track_Pants,58,,inactive_or_missing_image_fields,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-rib-seamless-shorts-waistband-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-rib-seamless-leggings-waistband-scrunch/,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed
ryderwear_female_sculpt_sports_bra_rib_waistband_low_support,Sculpt Seamless Halter Sports Bra,Sculpt,Sports_Bra,109,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/ | images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_sculpt_shorts_foldover_ribbed_high_waisted_scrunch,Sculpt Seamless High-Waisted Shorts,Sculpt,Shorts,111,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-empower-shorts-leopard-print-foldover-ribbed-high-waisted/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_sculpt_leggings_foldover_ribbed_high_waisted_scrunch,Sculpt Seamless High-Waisted Leggings,Sculpt,Leggings,110,,inactive_or_missing_image_fields,high,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/ | images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/,,no_visible_path_conflict,standard_manual_spot_check_before_any_import
ryderwear_female_stonewash_sports_bra_rib_waistband_v_neck_racerback_light_support,Stonewash Seamless Sports Bra,Stonewash,Sports_Bra,116,images/brands/ryderwear/women/nkd/tops/sports-bra/ryderwear-female-stonewash-sports-bra-rib-waistband-v-neck-racerback-light-support/,already_image_ready,,,,,
ryderwear_female_stonewash_leggings_foldover_ribbed_high_waisted_scrunch_invisible,Stonewash Seamless High-Waisted Scrunch Leggings,Stonewash,Leggings,114,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-stonewash-leggings-foldover-ribbed-high-waisted-scrunch-invisible/,already_image_ready,,,,,
ryderwear_female_stonewash_shorts_foldover_ribbed_high_waisted_scrunch_invisible,Stonewash Seamless High-Waisted Scrunch Shorts,Stonewash,Shorts,115,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-stonewash-shorts-foldover-ribbed-high-waisted-scrunch-invisible/,already_image_ready,,,,,
ryderwear_female_empower_sports_bra_leopard_print_scoop_neck_racerback_wide_strap_back_cutout_medium_support,Empower Sports Bra — Wide Strap Back Cut-Out,Empower,Sports_Bra,67,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-scoop-neck-racerback-wide-strap-back-cutout-medium-support/,already_image_ready,,,,,
ryderwear_female_empower_sports_bra_leopard_print_cross_over_scoop_neck_cross_over_back_light_support,Empower Sports Bra Crop — Cross-Over Straps,Empower,Sports_Bra,66,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-empower-sports-bra-leopard-print-cross-over-scoop-neck-cross-over-back-light-support/,already_image_ready,,,,,
ryderwear_female_empower_shorts_leopard_print_foldover_ribbed_high_waisted,Empower High-Waisted Shorts,Empower,Shorts,65,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-empower-shorts-leopard-print-foldover-ribbed-high-waisted/,already_image_ready,,,,,
ryderwear_female_empower_leggings_leopard_print_foldover_ribbed_high_waisted,Empower High-Waisted Leggings,Empower,Leggings,64,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-empower-leggings-leopard-print-foldover-ribbed-high-waisted/,already_image_ready,,,,,
ryderwear_female_honeycomb_sports_bra_scoop_neck_cross_over_back_medium_support,Honeycomb Seamless Sports Bra,Honeycomb,Sports_Bra,71,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-honeycomb-sports-bra-scoop-neck-cross-over-back-medium-support/,already_image_ready,,,,,
ryderwear_female_honeycomb_leggings_foldover_high_waisted_full_length_scrunch,Honeycomb Seamless High-Waisted Scrunch Leggings,Honeycomb,Leggings,69,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-honeycomb-leggings-foldover-high-waisted-full-length-scrunch/,already_image_ready,,,,,
ryderwear_female_honeycomb_shorts_foldover_high_waisted_scrunch,Honeycomb Seamless High-Waisted Scrunch Shorts,Honeycomb,Shorts,70,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-honeycomb-shorts-foldover-high-waisted-scrunch/,already_image_ready,,,,,
ryderwear_female_icon_sports_bra_v_neck_halter_centre_spine_low_support,Icon V-Neck Sports Bra,Icon,Sports_Bra,75,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-v-neck-halter-centre-spine-low-support/,already_image_ready,,,,,
ryderwear_female_icon_sports_bra_elastic_underbust_band_scoop_neck_multi_cross_over_back_straps_medium_support,Icon Scoop Neck Sports Bra,Icon,Sports_Bra,74,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-icon-sports-bra-elastic-underbust-band-scoop-neck-multi-cross-over-back-straps-medium-support/,already_image_ready,,,,,
ryderwear_female_icon_leggings_cross_over_high_waisted_full_length_scrunch,Icon Cross-Over Scrunch Leggings,Icon,Leggings,72,images/brands/ryderwear/women/non-nkd/bottoms/leggings/ryderwear-female-icon-leggings-cross-over-high-waisted-full-length-scrunch/,already_image_ready,,,,,
ryderwear_female_icon_shorts_cross_over_high_waisted_scrunch,Icon Cross-Over Scrunch Shorts,Icon,Shorts,73,images/brands/ryderwear/women/non-nkd/bottoms/shorts/ryderwear-female-icon-shorts-cross-over-high-waisted-scrunch/,already_image_ready,,,,,
ryderwear_female_ultra_tank_top_mesh,Ultra Mesh Tank,Ultra,Tank_Top,118,,inactive_or_missing_image_fields,low,images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-terry-towelling-sports-bra-cropped/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-t-shirt/ | images/brands/ryderwear/women/non-nkd/tops/sports-bra/ryderwear-female-rib-seamless-sports-bra-v-neck-halter-low-support/,subcategory_path_mismatch|product_type_path_mismatch|candidate_requires_manual_validation|no_safe_candidate,all_candidates_conflict_with_expected_product_type_path,no_safe_candidate_do_not_reconcile_until_folder_confirmed
